*title*,*url*,*score*,*author*,*time*,*comments*
Ask HN: What's Prolog Like in 2024?,,111,overclock351,1721301786,58
Jailbreaking RabbitOS,https://www.da.vidbuchanan.co.uk/blog/r1-jailbreak.html,962,Retr0id,1721234498,227
Panic at the Job Market,https://matt.sh/panic-at-the-job-market,1460,speckx,1721229911,1280
TinyPod – Apple Watch case with scroll wheel,https://thetinypod.com/,775,herbertl,1721232502,277
Elligator: Elliptic-curve points indistinguishable from uniform random strings (2013),https://dl.acm.org/doi/10.1145/2508859.2516734,58,NavinF,1720933107,10
A RP2040 based DECstation 3000 emulator that can run DECWindows,https://github.com/rscott2049/DECstation2040,142,dmitrygr,1721257886,29
Trayd (YC S23) Is Hiring,https://buildtrayd.notion.site/Senior-Software-Engineer-Trayd-b2e20c6b936e47b9870823a75e6c0604,1,caratrayd,1721306264,0
The unexpected poetry of PhD acknowledgements,https://science.anu.edu.au/news-events/news/unexpected-poetry-phd-acknowledgements,250,zsrobinson,1721238278,56
A brief interview with Awk creator Dr. Brian Kernighan (2022),https://pldb.io/blog/brianKernighan.html,195,breck,1721240924,94
SAPwned: SAP AI vulnerabilities expose customers' cloud environments and privat,https://www.wiz.io/blog/sapwned-sap-ai-vulnerabilities-ai-security,166,todsacerdoti,1721253759,35
Closed form arc length parametrization is impossible for quadratic Bézier curves,https://ninjakoa.la/curly_curves/posts/quadratic_bezier_arc_length_parametrization/,79,NinjaKoala,1721256699,31
Little Languages (1986) [pdf],https://staff.um.edu.mt/afra1/seminar/little-languages.pdf,129,ashish01,1721242260,15
NVIDIA Transitions Fully Towards Open-Source Linux GPU Kernel Modules,https://developer.nvidia.com/blog/nvidia-transitions-fully-towards-open-source-gpu-kernel-modules/,677,shaicoleman,1721241636,182
Post-Architecture: Premature Abstraction Is the Root of All Evil,https://arendjr.nl/blog/2024/07/post-architecture-premature-abstraction-is-the-root-of-all-evil/,8,arendjr,1721288976,0
Show HN: Product Hunt for Music,https://tracklist.it/,111,ewhicher,1721244664,40
